Id,Score
5,4.0
11,5.0
17,4.0
46,5.0
47,5.0
48,5.0
55,5.0
59,5.0
78,3.0
79,4.0
80,3.0
91,5.0
95,4.0
97,4.0
104,4.0
107,5.0
109,4.0
111,4.0
134,5.0
145,4.0
147,4.0
151,5.0
155,5.0
161,5.0
168,4.0
186,1.0
188,4.0
197,5.0
200,5.0
201,5.0
210,4.0
211,5.0
212,4.0
220,4.0
224,5.0
226,5.0
232,4.0
235,5.0
236,4.0
241,4.0
243,5.0
277,5.0
291,5.0
293,4.0
303,4.0
337,5.0
338,5.0
342,5.0
344,4.0
355,5.0
365,5.0
366,5.0
368,3.0
377,5.0
387,5.0
391,4.0
394,5.0
402,5.0
403,3.0
412,4.0
413,4.0
421,4.0
422,4.0
432,5.0
441,4.0
444,5.0
460,4.0
470,5.0
476,5.0
480,5.0
485,3.0
492,4.0
494,1.0
502,3.0
505,5.0
519,5.0
521,3.0
525,5.0
526,4.0
532,4.0
534,4.0
539,4.0
542,4.0
555,5.0
558,1.0
560,4.0
565,5.0
573,5.0
589,4.0
594,5.0
598,5.0
602,3.0
611,2.0
615,5.0
622,4.0
624,4.0
638,4.0
641,4.0
642,3.0
643,5.0
644,3.0
648,3.0
657,5.0
661,4.0
662,5.0
666,5.0
674,5.0
678,4.0
681,5.0
683,4.0
686,1.0
688,3.0
689,5.0
690,5.0
695,5.0
699,4.0
711,1.0
715,5.0
716,5.0
722,5.0
725,5.0
727,1.0
734,4.0
740,4.0
750,5.0
754,1.0
757,4.0
762,4.0
763,3.0
767,4.0
769,5.0
772,5.0
777,5.0
780,4.0
787,4.0
795,1.0
808,5.0
816,5.0
818,4.0
820,1.0
824,1.0
825,5.0
836,5.0
839,5.0
840,1.0
842,4.0
846,2.0
848,4.0
853,5.0
866,4.0
871,4.0
874,4.0
878,4.0
884,4.0
893,5.0
895,3.0
903,4.0
904,4.0
905,5.0
906,2.0
908,4.0
910,5.0
922,5.0
924,4.0
926,5.0
931,5.0
934,5.0
936,5.0
945,4.0
950,4.0
966,4.0
969,4.0
973,4.0
976,3.0
979,4.0
984,5.0
985,4.0
987,3.0
990,5.0
991,4.0
993,3.0
998,5.0
1006,5.0
1008,5.0
1033,4.0
1034,4.0
1043,1.0
1047,4.0
1053,4.0
1057,5.0
1062,4.0
1063,5.0
1068,1.0
1077,5.0
1089,5.0
1096,1.0
1099,5.0
1107,5.0
1108,5.0
1112,4.0
1120,4.0
1126,4.0
1127,5.0
1130,1.0
1146,5.0
1156,4.0
1161,4.0
1175,3.0
1180,4.0
1185,3.0
1192,3.0
1193,5.0
1194,5.0
1195,4.0
1212,4.0
1214,5.0
1229,4.0
1230,4.0
1232,4.0
1236,5.0
1240,5.0
1242,5.0
1249,5.0
1252,4.0
1262,4.0
1267,4.0
1275,5.0
1280,5.0
1284,5.0
1285,4.0
1296,5.0
1307,1.0
1317,4.0
1320,4.0
1321,4.0
1323,4.0
1328,1.0
1332,4.0
1340,1.0
1343,3.0
1344,4.0
1346,5.0
1348,5.0
1356,5.0
1361,4.0
1362,5.0
1369,4.0
1373,4.0
1379,5.0
1381,4.0
1383,5.0
1404,5.0
1408,4.0
1419,5.0
1424,4.0
1426,4.0
1427,5.0
1428,4.0
1442,3.0
1443,4.0
1448,5.0
1450,4.0
1453,5.0
1464,5.0
1471,5.0
1479,5.0
1484,4.0
1488,5.0
1489,5.0
1496,5.0
1502,5.0
1504,3.0
1506,5.0
1507,5.0
1513,5.0
1527,5.0
1537,5.0
1539,4.0
1540,5.0
1560,5.0
1568,4.0
1579,5.0
1580,5.0
1581,4.0
1588,5.0
1596,5.0
1601,5.0
1611,4.0
1619,5.0
1621,5.0
1625,4.0
1636,5.0
1640,5.0
1645,4.0
1646,4.0
1647,4.0
1648,4.0
1649,4.0
1653,5.0
1654,5.0
1659,5.0
1662,4.0
1663,5.0
1670,4.0
1677,4.0
1679,5.0
1685,5.0
1695,5.0
1707,5.0
1714,4.0
1744,5.0
1746,4.0
1748,5.0
1769,5.0
1774,3.0
1814,4.0
1826,5.0
1833,3.0
1834,4.0
1836,4.0
1843,4.0
1848,4.0
1849,4.0
1852,5.0
1853,4.0
1865,4.0
1870,5.0
1871,4.0
1873,4.0
1880,4.0
1884,5.0
1888,4.0
1890,5.0
1896,5.0
1904,4.0
1910,5.0
1913,3.0
1924,5.0
1951,4.0
1952,4.0
1964,5.0
1972,5.0
1974,5.0
1977,4.0
1978,5.0
2001,5.0
2005,5.0
2009,5.0
2012,5.0
2018,4.0
2020,5.0
2024,5.0
2031,5.0
2033,1.0
2037,5.0
2047,1.0
2059,5.0
2061,5.0
2062,5.0
2063,5.0
2064,5.0
2066,4.0
2067,4.0
2070,4.0
2074,1.0
2080,5.0
2084,5.0
2087,1.0
2089,4.0
2090,4.0
2091,1.0
2092,5.0
2095,5.0
2099,5.0
2103,4.0
2110,5.0
2112,5.0
2121,5.0
2132,5.0
2154,4.0
2161,4.0
2167,4.0
2174,4.0
2178,5.0
2181,4.0
2205,5.0
2212,4.0
2213,4.0
2225,5.0
2232,5.0
2259,4.0
2264,5.0
2265,4.0
2274,5.0
2304,4.0
2322,4.0
2324,3.0
2328,5.0
2331,5.0
2332,5.0
2335,4.0
2340,4.0
2343,4.0
2347,5.0
2350,5.0
2355,5.0
2357,5.0
2358,5.0
2367,3.0
2372,4.0
2378,4.0
2382,4.0
2384,5.0
2388,4.0
2391,4.0
2392,4.0
2395,5.0
2414,3.0
2418,5.0
2437,3.0
2441,4.0
2442,5.0
2448,5.0
2450,5.0
2456,2.0
2457,5.0
2464,5.0
2467,5.0
2469,4.0
2470,5.0
